,项目,值
0,工业增加值,3925.18亿元
0,建筑业增加值,1574.48亿元
0,零售业增加值,1334.62亿元
0,金融业增加值,981.86亿元
0,生产总值完成,13717.88亿元
0,三季度提高,0.4个百分点
0,第一产业完成,2055.71亿元
0,第二产业完成,5492.76亿元
0,第三产业完成,6169.41亿元
0,上年增加,1751元
0,上年提高,0.6个百分点
0,比2014年提升,1.7个百分点
0,完成增加值,2098.19亿元
0,农业增加值,1230.75亿元
0,林业增加值,216.11亿元
0,牧业增加值,559.98亿元
0,渔业增加值,48.88亿元
0,农林牧渔增加值,42.48亿元
0,农林牧渔业完成,3383.09亿元
0,比2014年增产,15.7万吨
0,高于全国,0.6个百分点
0,增加值完成,3623.08亿元
0,11月回升,0.5个百分点
0,制造业增加值,2731.98亿元
0,实现增加值,326.69亿元
0,全年增加值,564.41亿元
0,比2014年提高,0.2个百分点
0,增加值增长,4.5个百分点
0,比2014年下降,0.8个百分点
0,增加值增长,1.0个百分点
0,比2014年提高,0.6个百分点
0,增加值增长,1.2个百分点
0,全省卷烟,780.73万箱
0,制品业增加值,1300.17亿元
0,实现增加值,115.55亿元
0,加工业增加值,313.98亿元
0,实现增加值,112.78亿元
0,制造业增加值,143.46亿元
0,11月回升,1.8个百分点
0,增加值增长,1.6个百分点
0,烟业完成,2322.91亿元
0,11月回落,0.2个百分点
0,增加值增长,5.1个百分点
0,能源消费量,6285.58万吨
0,社会用电量,1438.61亿千瓦时
0,工业用电量,950.15亿千瓦时
0,高于全国,8.0个百分点
0,农户完成,13069.39亿元
0,11月提高,0.4个百分点
0,增速保持,8个
0,投资比重,48个百分点
0,第一产业投资,499.92亿元
0,比2014年上升,1.0个百分点
0,第二产业投资,3145.92亿元
0,比2014年降低,1.1个百分点
0,第三产业投资,9423.55亿元
0,比2014年提高,0.1个百分点
0,其中自筹资金,1337.54亿元
0,开发完成,2669.01亿元
0,11月扩大,0.6个百分点
0,较2014年回落,20.6个百分点
0,商品住宅完成,1670.27亿元
0,比2014年回落,20.1个百分点
0,比2014年回落,2.1个百分点
0,比2014年回落,13.2个百分点
0,民间完成,5612.73亿元
0,比2014年下降,3.8个百分点
0,完成投资,9381.80亿元
0,较2014年回落,3.1个百分点
0,较2014年下降,5.1个百分点
0,工业完成,3145.19亿元
0,较2014年回升,15.6个百分点
0,较2014年提高,23.3个百分点
0,全省增长,3.2个百分点
0,到位资金,11346.65亿元
0,国内贷款,1497.40亿元
0,其他资金,1707.23亿元
0,比2014年回升,7.7个百分点
0,预算到位,1463.23亿元
0,比2014年提高,10.7个百分点
0,比2014年回升,34.1个百分点
0,比2014年回升,14.0个百分点
0,低于全国,0.5个百分点
0,实现零售额,2659.17亿元
0,零售总额完成,5103.15亿元
0,11月回升,0.4个百分点
0,11月提高,0.7个百分点
0,较2014年回落,2.8个百分点
0,消费品零售额,4405.81亿元
0,实现零售额,697.34亿元
0,增幅城镇,1.9个百分点
0,11月加快,0.4个百分点
0,餐饮收入额,744.10亿元
0,商品零售额,4359.06亿元
0,比2014年提高,1.0个百分点
0,11月加快,0.3个百分点
0,比2014年回落,3.1个百分点
0,商品零售额,347.69亿元
0,商品零售额,104.10亿元
0,鞋帽商品,131.69亿元
0,日用品商品,97.13亿元
0,金银珠宝商品,93.53亿元
0,中西药商品,130.67亿元
0,汽车商品,734.20亿元
0,比2014年回落,3.9个百分点
0,比2014年回落,6.5个百分点
0,进出口完成,245.27亿美元
0,11月扩大,6.0个百分点
0,进口完成,79.01亿美元
0,预算完成,1808.14亿元
0,税收收入完成,1210.54亿元
0,11月扩大,1.1个百分点
0,非税完成,597.61亿元
0,11月回落,1.2个百分点
0,公共财政支出,4712.90亿元
0,11月回落,9.5个百分点
0,公共服务支出,388.37亿元
0,教育支出,767.26亿元
0,计划生育支出,422.75亿元
0,就业支出,648.28亿元
0,交通运输支出,603.94亿元
0,农林支出,641.84亿元
0,八项完成,2835.37亿元
0,11月回落,9.3个百分点
0,住户存款,10736.62亿元
0,非金融存款,6863.46亿元
0,贷款余额,20842.86亿元
0,其中短期贷款,6149.52亿元
0,比年初增加,2637.61亿元
0,11月回落,1.5个百分点
0,12月提高,3.5个百分点
0,比年初增加,865.76亿元
0,比年初增加,632.69亿元
0,比年初增加,2587.72亿元
0,11月提高,0.5个百分点
0,12月提高,2.0个百分点
0,比年初增加,490.8亿元
0,比年初增加,1534.25亿元
0,五网建设,5年
0,抓紧推进,21万套
